189,冰川时代,2002,8.6,655774人评价,松鼠才是角儿。
190,牯岭街少年杀人事件,1991,8.9,338266人评价,弱者送给弱者的一刀。
191,荒蛮故事,2014,8.8,473115人评价,始于荒诞，止于更荒诞。
192,忠犬八公物语,1987,9.2,208731人评价,养狗三日，便会对你终其一生。
193,恐怖游轮,2009,8.5,935762人评价,不要企图在重复中寻找已经失去的爱。
194,爆裂鼓手,2014,8.6,642901人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
195,末路狂花,1991,9.0,304015人评价,没有了退路，只好飞向自由。
196,东京教父,2003,9.0,263006人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
198,大佛普拉斯,2017,8.7,515731人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
199,遗愿清单,2007,8.7,503817人评价,用剩余不多的时间，去燃烧整个生命。
200,贫民窟的百万富翁,2008,8.6,781599人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
201,高山下的花环,1984(中国大陆) / 1985,9.5,126916人评价,电影诗。
203,你看起来好像很好吃,2010,8.9,355281人评价,感情不分食草或者食肉。
204,源代码,2011,8.5,885015人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
205,疯狂的麦克斯4：狂暴之路,2015,8.7,586696人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
206,可可西里,2004,8.9,326809人评价,坚硬的信仰。
207,海边的曼彻斯特,2016,8.6,606537人评价,我们都有权利不与自己的过去和解。
208,城市之光,1931,9.3,160600人评价,永远的小人物，伟大的卓别林。
209,波西米亚狂想曲,2018,8.6,654918人评价,黑暗之美。
211,芙蓉镇,1987,9.3,166188人评价,爱，是个动词。
214,青蛇,1993,8.6,562048人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
215,花束般的恋爱,2021,8.6,736643人评价,黑小鸭速效美白记。
217,雨人,1988,8.7,426940人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
218,终结者2：审判日,1991,8.8,364186人评价,少见的超越首部的续集，动作片中的经典。
219,人工智能,2001,8.7,477554人评价,对爱的执着，可以超越一切。
220,无耻混蛋,2009,8.7,520037人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
221,虎口脱险,1966,8.9,278375人评价,永远看不腻的喜剧。
222,哈利·波特与死亡圣器(上),2010,8.6,645468人评价,最忠于原著的一部。
223,新龙门客栈,1992,8.7,477789人评价,嬉笑怒骂，调风动月。
224,白日梦想家,2013,8.6,576908人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
226,崖上的波妞,2008,8.6,540870人评价,人生的N种可能性。
228,千钧一发,1997,8.8,326855人评价,一部能引人思考的科幻励志片。
229,彗星来的那一夜,2013,8.6,639529人评价,小成本大魅力。
230,机器人之梦,2023,9.0,244443人评价,一个精彩的世界观正在缓缓建立。
234,萤火虫之墓,1988,8.7,424244人评价,幸福是生生不息，却难以触及的远。 
235,火星救援,2015,8.5,788165人评价,世界不完美，爱会有奇迹。
237,二十二,2015,8.7,304823人评价,有一些东西不应该被遗忘。
238,战争之王,2005,8.7,395310人评价,做一颗让别人需要你的棋子。
239,步履不停,2008,8.8,304124人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
240,千年女优,2001,8.8,297551人评价,爱情是一场没有尽头的虚幻追逐。
241,血钻,2006,8.7,404365人评价,每个美丽事物背后都是滴血的现实。
242,谍影重重2,2004,8.7,377650人评价,谁说王家卫镜头很晃？
243,房间,2015,8.8,387060人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
244,魂断蓝桥,1940,8.8,296816人评价,中国式内在的美国电影。
245,蜘蛛侠：平行宇宙,2018,8.6,718301人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
247,谍影重重,2002,8.6,459701人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
248,隐藏人物,2016,8.9,245644人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
250,阿飞正传,1990,8.5,544843人评价,王家卫是一种风格，张国荣是一个代表。
